ID,Start time,Completion time,Email,Name,Last modified time,Select your year group:,Which AI platforms or tools have you used for schoolwork or homework? (Select all that apply),How often do you use AI tools for academic work?,For which subjects do you most commonly use AI tools? (Select all that apply),How do you typically use AI tools for your schoolwork? (Select all that apply),"When you use AI for homework, do you typically:",How do you feel about using AI tools for schoolwork?,How confident are you in your ability to use AI tools effectively and ethically?,Do you currently declare when you've used AI tools in your homework or assignments?,How aware do you think your teachers are of your AI usage?,"How do you feel about teachers using AI in their teaching, e.g. when preparing resources for lessons?",What support would be most helpful from school regarding AI use? (Select up to 3),Have you ever been unsure whether your use of AI was appropriate for a particular assignment or task?,How did you first learn about using AI tools for schoolwork?,Do you primarily use AI tools on:,Are your parents/guardians aware that you use AI tools for schoolwork?,"What has prevented you from using AI tools more, or what concerns do you have? (Select all that apply)","Is there anything else you'd like us to know about your experience with AI tools, or suggestions for how the school could better support students in this area?"
103,6/16/25 19:57:48,6/16/25 19:58:01,anonymous,,,Year 7,Language translation tools (e.g. Google Translate);Photomath or similar math solvers;,Several times a week,"Sciences (Biology, Chemistry, Physics);Modern Foreign Languages;Computer Science;", Getting help understanding difficult concepts;Checking my work for errors;Generating ideas for essays or projects;Helping with research and finding information;Solving math problems step-by-step;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations,Somewhat confident,Usually,Somewhat aware - they have a general idea, Very positive ,Learning about AI limitations and potential biases;Subject-specific guidance on appropriate AI use;,"Yes, but only once or twice",Teachers or school,School devices/network,"Yes, they know and are supportive",Concerned about accuracy of AI responses;Prefer to do work without AI assistance;Privacy concerns about my data;,not really
104,6/16/25 20:21:53,6/16/25 20:26:17,anonymous,,,Year 7,Language translation tools (e.g. Google Translate);Google Bard/Gemini;,Rarely,Modern Foreign Languages; English/Literature;, Getting help understanding difficult concepts;Translating text between languages;,Use AI as a starting point and significantly modify the output,Unsure/haven't thought about it much,Somewhat confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Unsure/haven't thought about it much,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;Learning about AI limitations and potential biases;Subject-specific guidance on appropriate AI use;Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,Friends or classmates,Both school and personal devices equally,"Yes, they know but have concerns",Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;Prefer to do work without AI assistance;Privacy concerns about my data;,no
105,6/16/25 20:28:18,6/16/25 20:33:05,anonymous,,,Year 7,I have not used any AI tools for schoolwork;,Rarely,Never;,Never;,Never,Somewhat negative - concerned about over-reliance,Somewhat confident,Never,Somewhat aware - they have a general idea,Somewhat negative ,Training on how to use AI tools effectively;Understanding how to cite/acknowledge AI use properly;Discussion sessions about AI ethics;,"Yes, but only once or twice",Family members,I don't currently use AI tools,Not applicable - I don't use AI tools,Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;Prefer to do work without AI assistance;Privacy concerns about my data;,"Personally, I do not use AI. In my opinion, the school should make an assembly on how AI is supposed to be used and not for plagiarism."
106,6/16/25 20:45:28,6/16/25 20:58:01,anonymous,,,Year 7,I have not used any AI tools for schoolwork;auto correct;,Never,i don't use AI;,spelling errors;,I don't use AI for home work,Somewhat negative - concerned about over-reliance,Not very confident,I'm not sure if I'm supposed to,Very aware - they know exactly how and when I use AI,Neutral - neither positive nor negative,I don't want to be reliant on AI ;,"No, never",Teachers or school,I don't currently use AI tools,Not applicable - I don't use AI tools,Prefer to do work without AI assistance;Privacy concerns about my data;I'm a bit worried about AI and how it is taking over the world.;,More info on how it works and how it is being used world wide.
107,6/16/25 21:09:29,6/16/25 21:14:20,anonymous,,,Year 7,I have not used any AI tools for schoolwork;,Never,i dont;,i dont;,i dont,Unsure/haven't thought about it much,"Unsure what ""effective and ethical"" means in this context",Never,Not aware at all - they don't know I use AI,Unsure/haven't thought about it much,Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,never,I don't currently use AI tools,Not applicable - I don't use AI tools,i have not thought about it;,no
108,6/16/25 22:24:39,6/16/25 22:24:48,anonymous,,,Year 12,ChatGPT;,Rarely,"Humanities;Sciences (Biology, Chemistry, Physics);",Generating ideas for essays or projects;Helping with research and finding information;,Use AI to check or improve work I've already created,Somewhat negative - concerned about over-reliance,Somewhat confident,Usually,Not very aware - they might suspect but don't know details,Very negative ,Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,Family members,Both school and personal devices equally,Not applicable - I don't use AI tools,Concerned about accuracy of AI responses;Prefer to do work without AI assistance;Privacy concerns about my data;Worried it might be considered cheating;,.
109,6/17/25 8:11:58,6/17/25 8:12:26,anonymous,,,Year 7,ChatGPT;Google Bard/Gemini;,Weekly,Mathematics;Modern Foreign Languages;,Translating text between languages;Helping with research and finding information;Solving math problems step-by-step;,"Use AI only to understand concepts, not create content",Very positive - they're extremely helpful,Somewhat confident,Rarely,It varies significantly between teachers,Neutral - neither positive nor negative,Nothing - I'm comfortable with my current AI use;Subject-specific guidance on appropriate AI use;,"Yes, but only once or twice",Friends or classmates,Personal devices at home,I'm not sure if they know,Prefer to do work without AI assistance;Privacy concerns about my data;Concerned about accuracy of AI responses;,no
110,6/17/25 8:14:45,6/17/25 8:25:52,anonymous,,,Year 7,ChatGPT;Google Bard/Gemini;Language translation tools (e.g. Google Translate);,Monthly,"Sciences (Biology, Chemistry, Physics); English/Literature;", Getting help understanding difficult concepts;Helping with research and finding information;,Use AI as a starting point and significantly modify the output,Somewhat positive - useful but with limitations, Very confident,Never,Not aware at all - they don't know I use AI,Neutral - neither positive nor negative,Training on how to use AI tools effectively;Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,I just knew about it anyway ,Personal devices at home,"Yes, they know and are supportive",The school blocks it;,no
111,6/17/25 8:19:10,6/17/25 8:28:03,anonymous,,,Year 7,Language translation tools (e.g. Google Translate);,Rarely,"Creative subjects (Art, Music, Drama);",Translating text between languages;,Use AI as a starting point and significantly modify the output,Unsure/haven't thought about it much,"Unsure what ""effective and ethical"" means in this context",Never,Not aware at all - they don't know I use AI,Neutral - neither positive nor negative,Training on how to use AI tools effectively;,I haven't really thought about this,News or articles,Both school and personal devices equally,Not applicable - I don't use AI tools,the school blokes it;,no
112,6/17/25 8:29:35,6/17/25 8:33:57,anonymous,,,Year 7,I have not used any AI tools for schoolwork;,Never,none;,none;,i dont use it for homework,Unsure/haven't thought about it much,Somewhat confident,Always,Very aware - they know exactly how and when I use AI,Unsure/haven't thought about it much,Nothing - I'm comfortable with my current AI use;,"No, never",Teachers or school,Personal devices at home,Not applicable - I don't use AI tools,Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,I only really use bing image generator to make cat pictures 
113,6/17/25 8:21:24,6/17/25 8:39:56,anonymous,,,Year 7,I have not used any AI tools for schoolwork;,Never,I don't use AI;,Nothing;,I don't use AI,Unsure/haven't thought about it much,Somewhat confident,Never,Not aware at all - they don't know I use AI,Somewhat positive ,Nothing - i don't use ai;,I haven't really thought about this,Found them myself through online research,I don't currently use AI tools,Not applicable - I don't use AI tools,Cost of premium AI services;Worried it might be considered cheating;Concerned about accuracy of AI responses;Privacy concerns about my data;School policies are unclear;,Nope
114,6/17/25 8:41:55,6/17/25 8:41:59,anonymous,,,Year 7,I have not used any AI tools for schoolwork;,Never,None;,None;,N/A,Very negative - prefer not to use them,Somewhat confident,Usually,It varies significantly between teachers,Unsure/haven't thought about it much,Clear guidelines on when AI use is acceptable;Learning about AI limitations and potential biases;,"No, never",Friends or classmates,I don't currently use AI tools,Not applicable - I don't use AI tools,Prefer to do work without AI assistance;,For questions 9 & 10 I put what I thought would be appropriate if I did use it.
115,6/17/25 8:41:06,6/17/25 8:44:24,anonymous,,,Year 7,Language translation tools (e.g. Google Translate);I have not used any AI tools for schoolwork;,Monthly,Modern Foreign Languages;,Translating text between languages;,Use AI to check or improve work I've already created,Somewhat negative - concerned about over-reliance,Not very confident,Rarely,Not very aware - they might suspect but don't know details,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;Subject-specific guidance on appropriate AI use;,"Yes, occasionally",Found them myself through online research,School devices/network,I'm not sure if they know,Concerned about accuracy of AI responses;Worried it might be considered cheating;Prefer to do work without AI assistance;Don't know how to use them effectively;,No 
116,6/17/25 8:44:33,6/17/25 8:46:49,anonymous,,,Year 7,Google Bard/Gemini;Microsoft Edge;,Rarely,"Sciences (Biology, Chemistry, Physics);", Getting help understanding difficult concepts;Checking my work for errors;Helping with research and finding information;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations,Somewhat confident,I'm not sure if I'm supposed to,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Nothing - I'm comfortable with my current AI use;,"Yes, but only once or twice",Friends or classmates,School devices/network,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;Prefer to do work without AI assistance;,I don't really use AI as something that gives me answers so doing the homework for me I just use google and microsoft edge to help if I am unsure of part of the task if not I ask the teacher.
117,6/17/25 8:43:25,6/17/25 8:46:57,anonymous,,,Year 7,I have not used any AI tools for schoolwork;,Rarely,Mathematics;, Getting help understanding difficult concepts;,"Use AI only to understand concepts, not create content",Neutral - neither positive nor negative,Somewhat confident,Never,Not aware at all - they don't know I use AI,Very negative ,Subject-specific guidance on appropriate AI use;,I haven't really thought about this,Friends or classmates,Personal devices at home,"Yes, they know but don't have strong opinions",Nothing prevents me - I use AI as much as I want;,.
118,6/17/25 8:43:25,6/17/25 8:47:42,anonymous,,,Year 7,Grammarly (AI writing assistant);ChatGPT;Google Bard/Gemini;,Rarely, English/Literature;, Getting help understanding difficult concepts;Checking my work for errors;Generating ideas for essays or projects;Helping with research and finding information;Solving math problems step-by-step;Improving my writing style and grammar;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations, Very confident,Sometimes,It varies significantly between teachers,Somewhat positive ,Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,Found them myself through online research,Personal devices at home,I'm not sure if they know,Nothing prevents me - I use AI as much as I want;,no
119,6/17/25 8:43:34,6/17/25 8:47:45,anonymous,,,Year 7,I have not used any AI tools for schoolwork;,Never,Modern Foreign Languages;,Checking my work for errors;,Use AI to check or improve work I've already created,Neutral - neither positive nor negative,Somewhat confident,Sometimes,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;,"Yes, but only once or twice",Found them myself through online research,Both school and personal devices equally,I'm not sure if they know,Don't have reliable access to AI tools;,No
120,6/17/25 8:43:35,6/17/25 8:47:50,anonymous,,,Year 7,I have not used any AI tools for schoolwork;Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Checking my work for errors;Translating text between languages;,Use AI to check or improve work I've already created,Somewhat positive - useful but with limitations,Somewhat confident,I'm not sure if I'm supposed to,Not very aware - they might suspect but don't know details,Somewhat positive ,Learning about AI limitations and potential biases;Discussion sessions about AI ethics;,"No, never",Friends or classmates,Personal devices at home,I'm not sure if they know,Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;,N/a
121,6/17/25 8:43:29,6/17/25 8:48:31,anonymous,,,Year 7,ChatGPT;Grammarly (AI writing assistant);,Rarely,"Sciences (Biology, Chemistry, Physics);Humanities;",Checking my work for errors;Helping with research and finding information;,Use AI to check or improve work I've already created,Neutral - neither positive nor negative,Somewhat confident,I'm not sure if I'm supposed to,Not very aware - they might suspect but don't know details,Neutral - neither positive nor negative,Understanding how to cite/acknowledge AI use properly;,I haven't really thought about this,Family members,Personal devices at home,I'm not sure if they know,School policies are unclear;,/
122,6/17/25 8:45:08,6/17/25 8:48:35,anonymous,,,Year 7,ChatGPT;Grammarly (AI writing assistant);Language translation tools (e.g. Google Translate);,Weekly,"Modern Foreign Languages; English/Literature;Sciences (Biology, Chemistry, Physics);",doing the work for me;, Use AI-generated content directly without changes,Very positive - they're extremely helpful, Very confident,Rarely,Not aware at all - they don't know I use AI,Unsure/haven't thought about it much,Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,"Social media (TikTok, YouTube, etc.)",Personal devices at home,I'm not sure if they know,Nothing prevents me - I use AI as much as I want;,nope
123,6/17/25 8:44:18,6/17/25 8:48:48,anonymous,,,Year 7,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;, Getting help understanding difficult concepts;,"Use AI only to understand concepts, not create content",Neutral - neither positive nor negative,"Unsure what ""effective and ethical"" means in this context",Sometimes,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Understanding how to cite/acknowledge AI use properly;,"Yes, occasionally",Friends or classmates,Personal devices at home,I'm not sure if they know,Worried it might be considered cheating;,no
124,6/17/25 8:45:23,6/17/25 8:49:03,anonymous,,,Year 7,I have not used any AI tools for schoolwork;,Never,I don’t use ai;,I don’t use ai;,I don’t use ai ,Very negative - prefer not to use them,"Unsure what ""effective and ethical"" means in this context",Never,Not aware at all - they don't know I use AI,Neutral - neither positive nor negative,I don’t use ai ;,I haven't really thought about this,I don’t use ai ,I don't currently use AI tools,Not applicable - I don't use AI tools,I don’t use ai ;,I don’t use ai and I will never plan too
125,6/17/25 8:44:15,6/17/25 8:49:06,anonymous,,,Year 7,google;,Weekly, English/Literature;,Helping with research and finding information;Improving my writing style and grammar;i use sites like rhymezone;,i dont understand AI,Unsure/haven't thought about it much,"Unsure what ""effective and ethical"" means in this context",I'm not sure if I'm supposed to,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,i dont need to learn this;,I haven't really thought about this,my brain,Personal devices at home,Not applicable - I don't use AI tools,Privacy concerns about my data;,no
126,6/17/25 8:45:28,6/17/25 8:49:45,anonymous,,,Year 7,I have not used any AI tools for schoolwork;,Never,i dont use it;,dont use it;,dont use it,Very negative - prefer not to use them, Very confident,Never,It varies significantly between teachers,Unsure/haven't thought about it much,Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,"Social media (TikTok, YouTube, etc.)",I don't currently use AI tools,Not applicable - I don't use AI tools,School policies are unclear;Worried it might be considered cheating;Prefer to do work without AI assistance;,No i think it is
127,6/17/25 8:47:01,6/17/25 8:49:51,anonymous,,,Year 7,Google Bard/Gemini;,Monthly, English/Literature;Mathematics;,creating maths questions to practice;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations,Somewhat confident,Rarely,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Nothing - I'm comfortable with my current AI use;,"No, never",Family members,Personal devices at home,"Yes, they know but don't have strong opinions",School policies are unclear;,no
128,6/17/25 8:43:17,6/17/25 8:50:17,anonymous,,,Year 7,ChatGPT;,Never,None;,never;,use it to generate similar questions to the ones i have struggled on,Unsure/haven't thought about it much,Somewhat confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Very negative ,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;Training on how to use AI tools effectively;,"Yes, but only once or twice",Family members,I don't currently use AI tools,"Yes, they know and are supportive",Concerned about accuracy of AI responses;Worried it might be considered cheating;Prefer to do work without AI assistance;School policies are unclear;,No not really
129,6/17/25 8:46:21,6/17/25 8:50:20,anonymous,,,Year 7,I have not used any AI tools for schoolwork;,Never,none;,none;,I don't,Unsure/haven't thought about it much,Not very confident,Always,Somewhat aware - they have a general idea,Unsure/haven't thought about it much,none;,I haven't really thought about this,never,I don't currently use AI tools,Not applicable - I don't use AI tools,none;,Sorry I couldn't answer many of the questions because I don't use AI at all
130,6/17/25 8:45:23,6/17/25 8:50:23,anonymous,,,Year 7,I have not used any AI tools for schoolwork;,Rarely,Modern Foreign Languages;,Translating text between languages;,none,Very negative - prefer not to use them,Somewhat confident,Always,Very aware - they know exactly how and when I use AI, Very positive ,Clear guidelines on when AI use is acceptable;,"No, never",i dont use ai tools,I don't currently use AI tools,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;Concerned about accuracy of AI responses;,No but i dont think so 
131,6/17/25 8:46:42,6/17/25 8:50:23,anonymous,,,Year 7,ChatGPT;Google Bard/Gemini;,Weekly,Modern Foreign Languages;,Checking my work for errors;Translating text between languages;,"Use AI only to understand concepts, not create content",Very positive - they're extremely helpful,Somewhat confident,Usually,Somewhat aware - they have a general idea,Somewhat positive ,Clear guidelines on when AI use is acceptable;Discussion sessions about AI ethics;Understanding how to cite/acknowledge AI use properly;,"Yes, occasionally",Friends or classmates,School devices/network,"Yes, they know but don't have strong opinions",Prefer to do work without AI assistance;Don't have reliable access to AI tools;,no
132,6/17/25 8:43:49,6/17/25 8:50:32,anonymous,,,Year 7,Google Bard/Gemini;Microsoft Copilot;,Monthly,"Sciences (Biology, Chemistry, Physics);", Getting help understanding difficult concepts;Helping with research and finding information;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations,Somewhat confident,Rarely,Not very aware - they might suspect but don't know details,Somewhat positive ,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;,"No, never",Friends or classmates,School devices/network,I'm not sure if they know,Worried it might be considered cheating;School policies are unclear;Prefer to do work without AI assistance;Don't know how to use them effectively;,no
133,6/17/25 8:46:45,6/17/25 8:50:33,anonymous,,,Year 7,I have not used any AI tools for schoolwork;,Never,I don't use Ai;,I don't use AI;,I don't use AI,Very negative - prefer not to use them, Very confident,Never,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,I don't use AI;,"No, never",I don't use Ai,I don't currently use AI tools,Not applicable - I don't use AI tools,Prefer to do work without AI assistance;Worried it might be considered cheating;,None
134,6/17/25 8:47:46,6/17/25 8:50:35,anonymous,,,Year 7,I have not used any AI tools for schoolwork;,Never,I dont use ai;,I dont use ai;,I dont use ai,Unsure/haven't thought about it much,Somewhat confident,I'm not sure if I'm supposed to,Not aware at all - they don't know I use AI,Unsure/haven't thought about it much,Learning about AI limitations and potential biases;,I haven't really thought about this,Found them myself through online research,Personal devices at home,Not applicable - I don't use AI tools,Worried it might be considered cheating;,"I will not use ai, i don’t want to"
135,6/17/25 8:46:42,6/17/25 8:50:37,anonymous,,,Year 7,I have not used any AI tools for schoolwork;,Never,I do not use AI;,I dont use AI;,I dont use AI,Unsure/haven't thought about it much, Very confident,Never,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Nothing - I'm comfortable with my current AI use;I don't use AI;,I haven't really thought about this,I don't use  AI,I don't currently use AI tools,Not applicable - I don't use AI tools,I do not use AI;,No
136,6/17/25 8:44:19,6/17/25 8:50:39,anonymous,,,Year 7,I have not used any AI tools for schoolwork;Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Improving my writing style and grammar;Translating text between languages;,Use AI as a starting point and significantly modify the output,Unsure/haven't thought about it much,Not very confident,I'm not sure if I'm supposed to,Not aware at all - they don't know I use AI,Unsure/haven't thought about it much,Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,Found them myself through online research,Personal devices at home,I'm not sure if they know,Privacy concerns about my data;,no
137,6/17/25 8:43:38,6/17/25 8:50:40,anonymous,,,Year 7,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Checking my work for errors;,Use AI to check or improve work I've already created,Somewhat negative - concerned about over-reliance,Somewhat confident,I'm not sure if I'm supposed to,Not very aware - they might suspect but don't know details,Somewhat negative ,Clear guidelines on when AI use is acceptable;Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,im not sure ,I don't currently use AI tools,Not applicable - I don't use AI tools,Worried it might be considered cheating;,i didnt know that google translate was considered ai 
138,6/17/25 8:46:01,6/17/25 8:50:41,anonymous,,,Year 7,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;, Getting help understanding difficult concepts;Helping with research and finding information;,"Use AI only to understand concepts, not create content",Somewhat negative - concerned about over-reliance,Not very confident,I'm not sure if I'm supposed to,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Understanding how to cite/acknowledge AI use properly;Clear guidelines on when AI use is acceptable;Subject-specific guidance on appropriate AI use;,I haven't really thought about this,Teachers or school,School devices/network,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;Concerned about accuracy of AI responses;Don't know how to use them effectively;Privacy concerns about my data;,no
139,6/17/25 8:44:03,6/17/25 8:50:47,anonymous,,,Year 7,ChatGPT;,Rarely,"Sciences (Biology, Chemistry, Physics);",Checking my work for errors; Getting help understanding difficult concepts;,Use AI to check or improve work I've already created,Somewhat positive - useful but with limitations, Very confident,I'm not sure if I'm supposed to,Not aware at all - they don't know I use AI, Very positive ,Nothing - I'm comfortable with my current AI use;,"Yes, but only once or twice",Friends or classmates,Personal devices at home,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;,N/A
140,6/17/25 8:46:51,6/17/25 8:51:15,anonymous,,,Year 7,ChatGPT;,Rarely, English/Literature;Mathematics;Modern Foreign Languages;,Checking my work for errors;Improving my writing style and grammar;,Use AI as a starting point and significantly modify the output,Somewhat positive - useful but with limitations,"Unsure what ""effective and ethical"" means in this context",I'm not sure if I'm supposed to,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Training on how to use AI tools effectively;Subject-specific guidance on appropriate AI use;Nothing - I'm comfortable with my current AI use;,"Yes, but only once or twice",Family members,Personal devices at home,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;Concerned about accuracy of AI responses;,no
141,6/17/25 8:43:39,6/17/25 8:51:31,anonymous,,,Year 7,I have not used any AI tools for schoolwork;,Rarely,dont use it;," Getting help understanding difficult concepts;if you dont understand something, it is easier to search it with cht gpt as it will give you the straight answer;","Use AI only to understand concepts, not create content",Neutral - neither positive nor negative,Somewhat confident,Always,Very aware - they know exactly how and when I use AI,Somewhat negative ,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;Learning about AI limitations and potential biases;,"No, never",i dont often use it for schoolwork,Personal devices at home,Not applicable - I don't use AI tools,dont use it for school;,no
142,6/17/25 8:48:07,6/17/25 8:51:40,anonymous,,,Year 7,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Translating text between languages;,"Use AI only to understand concepts, not create content",Very negative - prefer not to use them,Somewhat confident,I'm not sure if I'm supposed to,Somewhat aware - they have a general idea,Somewhat positive ,Clear guidelines on when AI use is acceptable;Nothing - I'm comfortable with my current AI use;,"Yes, but only once or twice",Teachers or school,School devices/network,Not applicable - I don't use AI tools,Worried it might be considered cheating;Prefer to do work without AI assistance;School policies are unclear;,no
143,6/17/25 8:45:28,6/17/25 8:52:01,anonymous,,,Year 7,Language translation tools (e.g. Google Translate);google (normal);,Rarely,Modern Foreign Languages;,Helping with research and finding information;Translating text between languages;,"Use AI only to understand concepts, not create content",Unsure/haven't thought about it much, Very confident,I'm not sure if I'm supposed to,Very aware - they know exactly how and when I use AI,Neutral - neither positive nor negative,Nothing - I'm comfortable with my current AI use;,"No, never",Teachers or school,Personal devices at home,"Yes, they know and are supportive",I don't want or need to use AI ;, 
144,6/17/25 8:47:06,6/17/25 8:52:03,anonymous,,,Year 7,Language translation tools (e.g. Google Translate);,Rarely,"Sciences (Biology, Chemistry, Physics);", Getting help understanding difficult concepts;Generating ideas for essays or projects;,"Use AI only to understand concepts, not create content",Neutral - neither positive nor negative,Somewhat confident,Rarely,Not very aware - they might suspect but don't know details,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Learning about AI limitations and potential biases;,"Yes, occasionally",Friends or classmates,Personal devices at home,"No, they don't know",Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;Prefer to do work without AI assistance;Privacy concerns about my data;,no :)
145,6/17/25 8:44:35,6/17/25 8:52:28,anonymous,,,Year 7,I have not used any AI tools for schoolwork;,Never,never;,never;,i don't,Very negative - prefer not to use them,"Unsure what ""effective and ethical"" means in this context",I'm not sure if I'm supposed to,It varies significantly between teachers,Very negative ,Clear guidelines on when AI use is acceptable;,I haven't really thought about this,I didn't,I don't currently use AI tools,Not applicable - I don't use AI tools,Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;Don't know how to use them effectively;Prefer to do work without AI assistance;Privacy concerns about my data;,No
146,6/17/25 8:48:37,6/17/25 8:52:28,anonymous,,,Year 7,Language translation tools (e.g. Google Translate);I have not used any AI tools for schoolwork;,Rarely,"Modern Foreign Languages;Creative subjects (Art, Music, Drama);",Translating text between languages;,never,Neutral - neither positive nor negative,Somewhat confident,Rarely,Not very aware - they might suspect but don't know details,Neutral - neither positive nor negative,Understanding how to cite/acknowledge AI use properly;,"Yes, but only once or twice","Social media (TikTok, YouTube, etc.)",School devices/network,Not applicable - I don't use AI tools,Prefer to do work without AI assistance;,no
147,6/17/25 8:47:59,6/17/25 8:52:30,anonymous,,,Year 7,I have not used any AI tools for schoolwork;,Several times a week,"Sciences (Biology, Chemistry, Physics);Modern Foreign Languages;Design Technology;Computer Science;",Helping with research and finding information;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations,Somewhat confident,Always,Very aware - they know exactly how and when I use AI,Somewhat positive ,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;,I haven't really thought about this,Family members,Personal devices at home,"Yes, they know and are supportive",Worried it might be considered cheating;Privacy concerns about my data;Don't know how to use them effectively;,nothing in particular
148,6/17/25 8:46:08,6/17/25 8:52:31,anonymous,,,Year 7,ChatGPT;,Rarely," English/Literature;Sciences (Biology, Chemistry, Physics);", Getting help understanding difficult concepts;,"Use AI only to understand concepts, not create content",Very positive - they're extremely helpful, Very confident,I'm not sure if I'm supposed to,Somewhat aware - they have a general idea,Somewhat positive ,Clear guidelines on when AI use is acceptable;Discussion sessions about AI ethics;Nothing - I'm comfortable with my current AI use;,"Yes, but only once or twice","Social media (TikTok, YouTube, etc.)",Both school and personal devices equally,I'm not sure if they know,Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;Nothing prevents me - I use AI as much as I want;,I think learning about AI would be fun and even using AI in your school work could help alot.
149,6/17/25 8:47:42,6/17/25 8:52:38,anonymous,,,Year 7,I have not used any AI tools for schoolwork;,Rarely,"Sciences (Biology, Chemistry, Physics);Modern Foreign Languages;Design Technology;Computer Science;",Helping with research and finding information;,"Use AI only to understand concepts, not create content",Somewhat negative - concerned about over-reliance,Somewhat confident,Always,Somewhat aware - they have a general idea,Somewhat positive ,Understanding how to cite/acknowledge AI use properly;Learning about AI limitations and potential biases;Subject-specific guidance on appropriate AI use;,I haven't really thought about this,News or articles,Personal devices at home,Not applicable - I don't use AI tools,Worried it might be considered cheating;School policies are unclear;Prefer to do work without AI assistance;Privacy concerns about my data;,I only use google for research
150,6/17/25 8:46:04,6/17/25 8:52:40,anonymous,,,Year 7,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Translating text between languages;Checking my work for errors;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations,Somewhat confident,I'm not sure if I'm supposed to,Somewhat aware - they have a general idea, Very positive ,Discussion sessions about AI ethics;Nothing - I'm comfortable with my current AI use;Clear guidelines on when AI use is acceptable;,"Yes, but only once or twice",Teachers or school,Personal devices at home,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,No
151,6/17/25 8:45:03,6/17/25 8:52:50,anonymous,,,Year 7,I have not used any AI tools for schoolwork;,Never, ;, ;, ,Very negative - prefer not to use them,Somewhat confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Learning about AI limitations and potential biases;Subject-specific guidance on appropriate AI use;,I haven't really thought about this, ,I don't currently use AI tools,Not applicable - I don't use AI tools,Worried it might be considered cheating;Concerned about accuracy of AI responses;Prefer to do work without AI assistance;School policies are unclear;Don't know how to use them effectively;, 
