Select your year group:,Which AI platforms or tools have you used for schoolwork or homework? (Select all that apply),How often do you use AI tools for academic work?,For which subjects do you most commonly use AI tools? (Select all that apply),How do you typically use AI tools for your schoolwork? (Select all that apply),"When you use AI for homework, do you typically:",How do you feel about using AI tools for schoolwork?,How confident are you in your ability to use AI tools effectively and ethically?,Do you currently declare when you've used AI tools in your homework or assignments?,How aware do you think your teachers are of your AI usage?,"How do you feel about teachers using AI in their teaching, e.g. when preparing resources for lessons?",What support would be most helpful from school regarding AI use? (Select up to 3),Have you ever been unsure whether your use of AI was appropriate for a particular assignment or task?,How did you first learn about using AI tools for schoolwork?,Do you primarily use AI tools on:,Are your parents/guardians aware that you use AI tools for schoolwork?,"What has prevented you from using AI tools more, or what concerns do you have? (Select all that apply)","Is there anything else you'd like us to know about your experience with AI tools, or suggestions for how the school could better support students in this area?"
Year 12,ChatGPT;Language translation tools (e.g. Google Translate);,Several times a week,Modern Foreign Languages;,Generating ideas for essays or projects;Helping with research and finding information;Creating first drafts of assignments;Translating text between languages;,Use AI as a starting point and significantly modify the output,Somewhat positive - useful but with limitations,Not very confident,I'm not sure if I'm supposed to,Somewhat aware - they have a general idea,Somewhat negative ,Training on how to use AI tools effectively;Learning about AI limitations and potential biases;,"Yes, occasionally",Friends or classmates,Personal devices at school,I'm not sure if they know,Worried it might be considered cheating;Concerned about accuracy of AI responses;,allow AI on school wifi!!
Year 12,I have not used any AI tools for schoolwork;Photomath or similar math solvers;,Monthly,Mathematics;,Checking my work for errors;Solving math problems step-by-step;,Use AI to check or improve work I've already created,Somewhat positive - useful but with limitations,Somewhat confident,Usually,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Learning about AI limitations and potential biases;Understanding how to cite/acknowledge AI use properly;,"Yes, occasionally",Found them myself through online research,Personal devices at school,I'm not sure if they know,Worried it might be considered cheating;Prefer to do work without AI assistance;,n/a
Year 12,ChatGPT;Photomath or similar math solvers;,Weekly,Mathematics;Humanities;,Generating ideas for essays or projects;Solving math problems step-by-step;Helping with research and finding information;,Use AI as a starting point and significantly modify the output,Somewhat positive - useful but with limitations, Very confident,I'm not sure if I'm supposed to,Not aware at all - they don't know I use AI,Somewhat positive ,Understanding how to cite/acknowledge AI use properly;Subject-specific guidance on appropriate AI use;,"Yes, but only once or twice","Social media (TikTok, YouTube, etc.)",Both school and personal devices equally,"Yes, they know but don't have strong opinions",Concerned about accuracy of AI responses;,No
Year 12,ChatGPT;Language translation tools (e.g. Google Translate);,Weekly,Economics;, Getting help understanding difficult concepts;Translating text between languages;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations,Somewhat confident,Sometimes,It varies significantly between teachers,Somewhat negative ,Training on how to use AI tools effectively;Understanding how to cite/acknowledge AI use properly;Learning about AI limitations and potential biases;,"Yes, but only once or twice",Friends or classmates,Personal devices at home,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;,no
Year 12,ChatGPT;Grammarly (AI writing assistant);,Rarely,Humanities;,Generating ideas for essays or projects;,"Use AI only to understand concepts, not create content",Very positive - they're extremely helpful, Very confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Very negative ,Subject-specific guidance on appropriate AI use;,"Yes, but only once or twice",Family members,Personal devices at home,"Yes, they know and are supportive",Worried it might be considered cheating;Don't have reliable access to AI tools;Concerned about accuracy of AI responses;Prefer to do work without AI assistance;Cost of premium AI services;,No
Year 12,ChatGPT;Language translation tools (e.g. Google Translate);Grammarly (AI writing assistant);,Weekly,Humanities;,Checking my work for errors;Helping with research and finding information;Generating ideas for essays or projects; Getting help understanding difficult concepts;Improving my writing style and grammar;,Use AI to check or improve work I've already created,Somewhat positive - useful but with limitations, Very confident,I'm not sure if I'm supposed to,Not very aware - they might suspect but don't know details,Somewhat negative ,Learning about AI limitations and potential biases;Understanding how to cite/acknowledge AI use properly;,I haven't really thought about this,Friends or classmates,Personal devices at school,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;Concerned about accuracy of AI responses;,no
Year 12,Grammarly (AI writing assistant);Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;Humanities;, Getting help understanding difficult concepts;Improving my writing style and grammar;,To look for SPAG mistakes in my work,Somewhat positive - useful but with limitations, Very confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Somewhat positive ,Clear guidelines on when AI use is acceptable;,"No, never",Friends or classmates,Both school and personal devices equally,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;Concerned about accuracy of AI responses;Privacy concerns about my data;Prefer to do work without AI assistance;,I don't think so.
Year 12,ChatGPT;Photomath or similar math solvers;,Weekly,Mathematics;Humanities;, Getting help understanding difficult concepts;Checking my work for errors;,Use AI to check or improve work I've already created,Somewhat positive - useful but with limitations,Not very confident,Rarely,Not very aware - they might suspect but don't know details,Unsure/haven't thought about it much,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;Understanding how to cite/acknowledge AI use properly;,I haven't really thought about this,"Social media (TikTok, YouTube, etc.)",Personal devices at home,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,no 
Year 12,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Checking my work for errors;Translating text between languages;,Use AI to check or improve work I've already created,Somewhat negative - concerned about over-reliance,Somewhat confident,Never,Not aware at all - they don't know I use AI,Very negative ,Learning about AI limitations and potential biases;Clear guidelines on when AI use is acceptable;,"Yes, but only once or twice",Found them myself through online research,Personal devices at home,"No, they don't know",Worried it might be considered cheating;Prefer to do work without AI assistance;Concerned about accuracy of AI responses;,Language translation tools are often very inaccurate and give incorrect grammar/wordings
Year 12,Google Bard/Gemini;Photomath or similar math solvers;,Weekly, English/Literature;Mathematics;,Generating ideas for essays or projects;Solving math problems step-by-step;,Use AI as a starting point and significantly modify the output,Somewhat positive - useful but with limitations,Not very confident,Never,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;,I haven't really thought about this,Friends or classmates,Personal devices at home,I'm not sure if they know,Worried it might be considered cheating;Concerned about accuracy of AI responses;Don't know how to use them effectively;Prefer to do work without AI assistance;,I often think it feels unfair that some students use AI to do work really quickly whereas others feel they have to do the work themselves.
Year 12,ChatGPT;Grammarly (AI writing assistant);Photomath or similar math solvers;Language translation tools (e.g. Google Translate);,Weekly,Humanities;,Checking my work for errors;Generating ideas for essays or projects;,Use AI as a starting point and significantly modify the output,Neutral - neither positive nor negative,Somewhat confident,Sometimes,Somewhat aware - they have a general idea,Very negative ,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;Learning about AI limitations and potential biases;Subject-specific guidance on appropriate AI use;,"Yes, but only once or twice",Teachers or school,Personal devices at home,I'm not sure if they know,School policies are unclear;,No
Year 12,Language translation tools (e.g. Google Translate);Microsoft Copilot;,Rarely,Humanities;,Summarising long documents or articles into shortened versions.; Getting help understanding difficult concepts;,"Use AI only to understand concepts, not create content",Somewhat negative - concerned about over-reliance,Somewhat confident,Rarely,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;Subject-specific guidance on appropriate AI use;,"No, never",Teachers or school,Personal devices at school,"Yes, they know and are supportive",Worried it might be considered cheating;Concerned about accuracy of AI responses;Don't know how to use them effectively;,No
Year 12,ChatGPT;Photomath or similar math solvers;,Weekly,Humanities;,Helping with research and finding information;Solving math problems step-by-step; Getting help understanding difficult concepts;Checking my work for errors;Improving my writing style and grammar;,Use AI as a starting point and significantly modify the output,Somewhat positive - useful but with limitations, Very confident,I'm not sure if I'm supposed to,Somewhat aware - they have a general idea,Unsure/haven't thought about it much,Nothing - I'm comfortable with my current AI use;,"Yes, but only once or twice",Friends or classmates,Personal devices at home,"Yes, they know but don't have strong opinions",Concerned about accuracy of AI responses;,.
Year 12,ChatGPT;Microsoft Copilot;,Weekly,Humanities;, Getting help understanding difficult concepts;Generating ideas for essays or projects;Helping with research and finding information;,Use AI as a starting point and significantly modify the output,Somewhat positive - useful but with limitations,Somewhat confident,Never,Somewhat aware - they have a general idea,Somewhat negative ,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;Subject-specific guidance on appropriate AI use;,"Yes, occasionally",Friends or classmates,School devices/network,I'm not sure if they know,Worried it might be considered cheating;Concerned about accuracy of AI responses;Don't know how to use them effectively;,-
Year 12,ChatGPT;Language translation tools (e.g. Google Translate);Grammarly (AI writing assistant);Microsoft Copilot;,Monthly,Modern Foreign Languages;Humanities;,Preparing revision resources;,"Use AI only to understand concepts, not create content",Somewhat negative - concerned about over-reliance,Somewhat confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Somewhat negative ,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;Understanding how to cite/acknowledge AI use properly;Discussion sessions about AI ethics;,"Yes, but only once or twice",Friends or classmates,Both school and personal devices equally,"Yes, they know but have concerns",School policies are unclear;Concerned about accuracy of AI responses;,School should outline AI usage in a clearer manner and promote the benefits of AI as well as acknowledging the drawbacks
Year 12,ChatGPT;Microsoft Copilot;Grammarly (AI writing assistant);Language translation tools (e.g. Google Translate);,Weekly,"Sciences (Biology, Chemistry, Physics);", Getting help understanding difficult concepts;Checking my work for errors;Helping with research and finding information;Translating text between languages;,Use AI to check or improve work I've already created,Somewhat positive - useful but with limitations,Somewhat confident,I'm not sure if I'm supposed to,Not very aware - they might suspect but don't know details,Somewhat negative ,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;,"Yes, occasionally",Found them myself through online research,Personal devices at home,"Yes, they know and are supportive",Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;,provide more guidelines or specific advice 
Year 12,ChatGPT;,Monthly, English/Literature;,Generating ideas for essays or projects;,Use AI as a starting point and significantly modify the output,Neutral - neither positive nor negative, Very confident,I'm not sure if I'm supposed to,Not aware at all - they don't know I use AI,Very negative ,Subject-specific guidance on appropriate AI use;Understanding how to cite/acknowledge AI use properly;Training on how to use AI tools effectively;,"No, never",Friends or classmates,Personal devices at home,"No, they don't know",Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,no
Year 11,ChatGPT;gismo ;,Rarely,to make my revision timetable ;, Getting help understanding difficult concepts;,"Use AI only to understand concepts, not create content",Unsure/haven't thought about it much, Very confident,Sometimes,Very aware - they know exactly how and when I use AI,Somewhat positive ,Clear guidelines on when AI use is acceptable;Subject-specific guidance on appropriate AI use;Nothing - I'm comfortable with my current AI use;,"No, never",News or articles,Personal devices at home,I'm not sure if they know,Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,"often I use AI without knowing, such as on revsion websites which cater to the students learning ability etc. I think that using AI do do work for you e.g. write your essay or do your homework is wrong but if you are using it to support your own learning, I don't see anything wrong with this. "
Year 12,ChatGPT;Photomath or similar math solvers;,Weekly,"Sciences (Biology, Chemistry, Physics);", Getting help understanding difficult concepts;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations,Somewhat confident,I'm not sure if I'm supposed to,Not aware at all - they don't know I use AI,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;Subject-specific guidance on appropriate AI use;,"Yes, but only once or twice",Friends or classmates,Both school and personal devices equally,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;,no
Year 11,ChatGPT;Microsoft Copilot;Language translation tools (e.g. Google Translate);,Daily, English/Literature;Mathematics;Humanities;, Getting help understanding difficult concepts;Checking my work for errors;Improving my writing style and grammar;Solving math problems step-by-step;Translating text between languages;Helping with research and finding information;,"Use AI only to understand concepts, not create content",Very positive - they're extremely helpful, Very confident,Never,Not very aware - they might suspect but don't know details,Neutral - neither positive nor negative,Learning about AI limitations and potential biases;Clear guidelines on when AI use is acceptable;,I haven't really thought about this,Family members,Both school and personal devices equally,"Yes, they know and are supportive",Nothing prevents me - I use AI as much as I want;,no
Year 7,"autocorrect, and the thing in ms word that makes sentences and phrases ahead for you;",Daily,i use autocorrect all the time it just... autocorrects my work;,Checking my work for errors;Improving my writing style and grammar;,and whatever autocorrect does ,Unsure/haven't thought about it much, Very confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Unsure/haven't thought about it much,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;Understanding how to cite/acknowledge AI use properly;Learning about AI limitations and potential biases;Subject-specific guidance on appropriate AI use;,"Yes, but only once or twice",News or articles,Personal devices at home,Not applicable - I don't use AI tools,Prefer to do work without AI assistance;cant be asked to go to ai and get a dumb response like ai isnt that immersive;Nothing prevents me - I use AI as much as I want;,like just encourage creativity from own brain
Year 7,ChatGPT;Language translation tools (e.g. Google Translate);Grammarly (AI writing assistant);,Weekly,"Modern Foreign Languages;Design Technology;Sciences (Biology, Chemistry, Physics);",Translating text between languages;Improving my writing style and grammar;, Use AI-generated content directly without changes,Very positive - they're extremely helpful, Very confident,Never,Not aware at all - they don't know I use AI,Unsure/haven't thought about it much,Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,"Social media (TikTok, YouTube, etc.)",Both school and personal devices equally,I'm not sure if they know,Don't know how to use them effectively;,Nope
Year 7,I have not used any AI tools for schoolwork;,Rarely,study skills;,Improving my writing style and grammar;,"Use AI only to understand concepts, not create content",Neutral - neither positive nor negative,Somewhat confident,Never,Very aware - they know exactly how and when I use AI,Neutral - neither positive nor negative,Training on how to use AI tools effectively;Clear guidelines on when AI use is acceptable;Nothing - I'm comfortable with my current AI use;,"Yes, frequently",Friends or classmates,School devices/network,Not applicable - I don't use AI tools,Worried it might be considered cheating;,No
Year 7,ChatGPT;Language translation tools (e.g. Google Translate);,Rarely, English/Literature;Modern Foreign Languages;Mathematics;,Checking my work for errors;Solving math problems step-by-step;Translating text between languages;,Use AI as a starting point and significantly modify the output,Somewhat positive - useful but with limitations,Somewhat confident,Sometimes,Not aware at all - they don't know I use AI,Somewhat positive ,Clear guidelines on when AI use is acceptable;Learning about AI limitations and potential biases;Discussion sessions about AI ethics;,I haven't really thought about this,Friends or classmates,Personal devices at home,I'm not sure if they know,Worried it might be considered cheating;,no
Year 7,I have not used any AI tools for schoolwork;,Never,"Mathematics;Sciences (Biology, Chemistry, Physics);Modern Foreign Languages;","I use them to create mock test like in Maths, Science or Languages.;",I do not use it for homework but for revision,Very positive - they're extremely helpful,Somewhat confident,Always,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;Learning about AI limitations and potential biases;,"No, never",My mum for the mocks,Personal devices at home,"Yes, they know and are supportive",I don't find it helpful apart from for revision;,No
Year 7,ChatGPT;Language translation tools (e.g. Google Translate);,Several times a week," English/Literature;Mathematics;Sciences (Biology, Chemistry, Physics);Humanities;Modern Foreign Languages;Creative subjects (Art, Music, Drama);Design Technology;Computer Science;", Getting help understanding difficult concepts;Checking my work for errors;Generating ideas for essays or projects;Helping with research and finding information;Improving my writing style and grammar;Solving math problems step-by-step;Creating first drafts of assignments;Translating text between languages;,none,Unsure/haven't thought about it much,Not confident at all,Never,It varies significantly between teachers,Neutral - neither positive nor negative,Nothing - I'm comfortable with my current AI use;,"No, never","Social media (TikTok, YouTube, etc.)",Personal devices at home,"Yes, they know and are supportive",Don't have reliable access to AI tools;,No
Year 7,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Translating text between languages;, Use AI-generated content directly without changes,Neutral - neither positive nor negative, Very confident,Never,Not aware at all - they don't know I use AI,Somewhat positive ,Nothing - I'm comfortable with my current AI use;Clear guidelines on when AI use is acceptable;,"Yes, but only once or twice",Friends or classmates,Personal devices at home,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;School policies are unclear;,are we allowed to for like latin etc
Year 7,Language translation tools (e.g. Google Translate);,Never,"None, unless Google Translate counts as AI;",Translating text between languages;,Unless translation counts as AI I don't use it,Unsure/haven't thought about it much, Very confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Unsure/haven't thought about it much,I don't use AI;,I haven't really thought about this,n/a,I don't currently use AI tools,Not applicable - I don't use AI tools,Prefer to do work without AI assistance;Worried it might be considered cheating;,Not really.
Year 7,Language translation tools (e.g. Google Translate);I have not used any AI tools for schoolwork;,Rarely,Modern Foreign Languages;,Checking my work for errors;Translating text between languages; Getting help understanding difficult concepts;Helping with research and finding information;,"Use AI only to understand concepts, not create content",Somewhat negative - concerned about over-reliance,Not very confident,Usually,Not very aware - they might suspect but don't know details,Somewhat positive ,Nothing - I'm comfortable with my current AI use;,"Yes, but only once or twice",Found them myself through online research,Personal devices at home,"Yes, they know but don't have strong opinions",Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,I don’t think so :)
Year 12,Perplexity AI;,Rarely,"Sciences (Biology, Chemistry, Physics);",Helping with research and finding information;,Use AI as a starting point and significantly modify the output,Very negative - prefer not to use them,Somewhat confident,Rarely,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Discussion sessions about AI ethics;,"Yes, but only once or twice",Friends or classmates,Personal devices at home,"Yes, they know and are supportive",Worried it might be considered cheating;School policies are unclear;Prefer to do work without AI assistance;,no
Year 7,ChatGPT;Google Bard/Gemini;Microsoft Copilot;google translate;,Rarely,Modern Foreign Languages;,Translating text between languages;,"Use AI only to understand concepts, not create content",Neutral - neither positive nor negative,Somewhat confident,Always,Very aware - they know exactly how and when I use AI,Unsure/haven't thought about it much,Nothing - I'm comfortable with my current AI use;,"Yes, but only once or twice",Teachers or school,Personal devices at home,"Yes, they know but don't have strong opinions",I don't know;,I use AI with permission and when I use it I for work I tell my teachers. I barely use it much because my parents blocked most/all AI on my device and they track what I'm going on.
Year 7,duck duck go;Microsoft Copilot;,Rarely,Modern Foreign Languages;, Getting help understanding difficult concepts;Helping with research and finding information;,"Use AI only to understand concepts, not create content",Unsure/haven't thought about it much,Somewhat confident,Rarely,It varies significantly between teachers,Neutral - neither positive nor negative,Nothing - I'm comfortable with my current AI use;,"No, never",Friends or classmates,Both school and personal devices equally,"Yes, they know but don't have strong opinions",Concerned about accuracy of AI responses;,Not really.
Year 7,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Translating text between languages;,Use AI to check or improve work I've already created,Unsure/haven't thought about it much,"Unsure what ""effective and ethical"" means in this context",Usually,Not very aware - they might suspect but don't know details,Somewhat negative ,Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,i just knew about google translate before,Both school and personal devices equally,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;Don't know how to use them effectively;Prefer to do work without AI assistance;,no
Year 7,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Translating text between languages;,Use AI to check or improve work I've already created,Neutral - neither positive nor negative,Somewhat confident,Usually,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Training on how to use AI tools effectively;,"No, never",Teachers or school,Both school and personal devices equally,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;Privacy concerns about my data;,Is it ok to make stories with ai but appropriate ones not related to schoolwork?
Year 7,I have not used any AI tools for schoolwork;,Never,I don't;,None;,I don't,Neutral - neither positive nor negative,Not confident at all,Always,Very aware - they know exactly how and when I use AI,Somewhat negative ,Clear guidelines on when AI use is acceptable;,"No, never",Friends or classmates,I don't currently use AI tools,Not applicable - I don't use AI tools,Prefer to do work without AI assistance;,No
Year 7,ChatGPT;Language translation tools (e.g. Google Translate);,Rarely, English/Literature;Modern Foreign Languages;, Getting help understanding difficult concepts;Helping with research and finding information;Translating text between languages;,"Use AI only to understand concepts, not create content",Unsure/haven't thought about it much,Somewhat confident,I'm not sure if I'm supposed to,Not very aware - they might suspect but don't know details,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;Understanding how to cite/acknowledge AI use properly;Learning about AI limitations and potential biases;Subject-specific guidance on appropriate AI use;Nothing - I'm comfortable with my current AI use;,"Yes, but only once or twice",Friends and social media,Personal devices at home,I'm not sure if they know,Worried it might be considered cheating;School policies are unclear;I don't want to use it too much by mistake.;,no
Year 7,Language translation tools (e.g. Google Translate);Photomath or similar math solvers;,Several times a week,"Sciences (Biology, Chemistry, Physics);Modern Foreign Languages;Computer Science;", Getting help understanding difficult concepts;Checking my work for errors;Generating ideas for essays or projects;Helping with research and finding information;Solving math problems step-by-step;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations,Somewhat confident,Usually,Somewhat aware - they have a general idea, Very positive ,Learning about AI limitations and potential biases;Subject-specific guidance on appropriate AI use;,"Yes, but only once or twice",Teachers or school,School devices/network,"Yes, they know and are supportive",Concerned about accuracy of AI responses;Prefer to do work without AI assistance;Privacy concerns about my data;,not really
Year 7,Language translation tools (e.g. Google Translate);Google Bard/Gemini;,Rarely,Modern Foreign Languages; English/Literature;, Getting help understanding difficult concepts;Translating text between languages;,Use AI as a starting point and significantly modify the output,Unsure/haven't thought about it much,Somewhat confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Unsure/haven't thought about it much,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;Learning about AI limitations and potential biases;Subject-specific guidance on appropriate AI use;Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,Friends or classmates,Both school and personal devices equally,"Yes, they know but have concerns",Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;Prefer to do work without AI assistance;Privacy concerns about my data;,no
Year 7,I have not used any AI tools for schoolwork;,Rarely,Never;,Never;,Never,Somewhat negative - concerned about over-reliance,Somewhat confident,Never,Somewhat aware - they have a general idea,Somewhat negative ,Training on how to use AI tools effectively;Understanding how to cite/acknowledge AI use properly;Discussion sessions about AI ethics;,"Yes, but only once or twice",Family members,I don't currently use AI tools,Not applicable - I don't use AI tools,Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;Prefer to do work without AI assistance;Privacy concerns about my data;,"Personally, I do not use AI. In my opinion, the school should make an assembly on how AI is supposed to be used and not for plagiarism."
Year 7,I have not used any AI tools for schoolwork;auto correct;,Never,i don't use AI;,spelling errors;,I don't use AI for home work,Somewhat negative - concerned about over-reliance,Not very confident,I'm not sure if I'm supposed to,Very aware - they know exactly how and when I use AI,Neutral - neither positive nor negative,I don't want to be reliant on AI ;,"No, never",Teachers or school,I don't currently use AI tools,Not applicable - I don't use AI tools,Prefer to do work without AI assistance;Privacy concerns about my data;I'm a bit worried about AI and how it is taking over the world.;,More info on how it works and how it is being used world wide.
Year 7,I have not used any AI tools for schoolwork;,Never,i dont;,i dont;,i dont,Unsure/haven't thought about it much,"Unsure what ""effective and ethical"" means in this context",Never,Not aware at all - they don't know I use AI,Unsure/haven't thought about it much,Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,never,I don't currently use AI tools,Not applicable - I don't use AI tools,i have not thought about it;,no
Year 12,ChatGPT;,Rarely,"Humanities;Sciences (Biology, Chemistry, Physics);",Generating ideas for essays or projects;Helping with research and finding information;,Use AI to check or improve work I've already created,Somewhat negative - concerned about over-reliance,Somewhat confident,Usually,Not very aware - they might suspect but don't know details,Very negative ,Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,Family members,Both school and personal devices equally,Not applicable - I don't use AI tools,Concerned about accuracy of AI responses;Prefer to do work without AI assistance;Privacy concerns about my data;Worried it might be considered cheating;,.
Year 7,ChatGPT;Google Bard/Gemini;,Weekly,Mathematics;Modern Foreign Languages;,Translating text between languages;Helping with research and finding information;Solving math problems step-by-step;,"Use AI only to understand concepts, not create content",Very positive - they're extremely helpful,Somewhat confident,Rarely,It varies significantly between teachers,Neutral - neither positive nor negative,Nothing - I'm comfortable with my current AI use;Subject-specific guidance on appropriate AI use;,"Yes, but only once or twice",Friends or classmates,Personal devices at home,I'm not sure if they know,Prefer to do work without AI assistance;Privacy concerns about my data;Concerned about accuracy of AI responses;,no
Year 7,ChatGPT;Google Bard/Gemini;Language translation tools (e.g. Google Translate);,Monthly,"Sciences (Biology, Chemistry, Physics); English/Literature;", Getting help understanding difficult concepts;Helping with research and finding information;,Use AI as a starting point and significantly modify the output,Somewhat positive - useful but with limitations, Very confident,Never,Not aware at all - they don't know I use AI,Neutral - neither positive nor negative,Training on how to use AI tools effectively;Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,I just knew about it anyway ,Personal devices at home,"Yes, they know and are supportive",The school blocks it;,no
Year 7,Language translation tools (e.g. Google Translate);,Rarely,"Creative subjects (Art, Music, Drama);",Translating text between languages;,Use AI as a starting point and significantly modify the output,Unsure/haven't thought about it much,"Unsure what ""effective and ethical"" means in this context",Never,Not aware at all - they don't know I use AI,Neutral - neither positive nor negative,Training on how to use AI tools effectively;,I haven't really thought about this,News or articles,Both school and personal devices equally,Not applicable - I don't use AI tools,the school blokes it;,no
Year 7,I have not used any AI tools for schoolwork;,Never,none;,none;,i dont use it for homework,Unsure/haven't thought about it much,Somewhat confident,Always,Very aware - they know exactly how and when I use AI,Unsure/haven't thought about it much,Nothing - I'm comfortable with my current AI use;,"No, never",Teachers or school,Personal devices at home,Not applicable - I don't use AI tools,Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,I only really use bing image generator to make cat pictures 
Year 7,I have not used any AI tools for schoolwork;,Never,I don't use AI;,Nothing;,I don't use AI,Unsure/haven't thought about it much,Somewhat confident,Never,Not aware at all - they don't know I use AI,Somewhat positive ,Nothing - i don't use ai;,I haven't really thought about this,Found them myself through online research,I don't currently use AI tools,Not applicable - I don't use AI tools,Cost of premium AI services;Worried it might be considered cheating;Concerned about accuracy of AI responses;Privacy concerns about my data;School policies are unclear;,Nope
Year 7,I have not used any AI tools for schoolwork;,Never,None;,None;,N/A,Very negative - prefer not to use them,Somewhat confident,Usually,It varies significantly between teachers,Unsure/haven't thought about it much,Clear guidelines on when AI use is acceptable;Learning about AI limitations and potential biases;,"No, never",Friends or classmates,I don't currently use AI tools,Not applicable - I don't use AI tools,Prefer to do work without AI assistance;,For questions 9 & 10 I put what I thought would be appropriate if I did use it.
Year 7,Language translation tools (e.g. Google Translate);I have not used any AI tools for schoolwork;,Monthly,Modern Foreign Languages;,Translating text between languages;,Use AI to check or improve work I've already created,Somewhat negative - concerned about over-reliance,Not very confident,Rarely,Not very aware - they might suspect but don't know details,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;Subject-specific guidance on appropriate AI use;,"Yes, occasionally",Found them myself through online research,School devices/network,I'm not sure if they know,Concerned about accuracy of AI responses;Worried it might be considered cheating;Prefer to do work without AI assistance;Don't know how to use them effectively;,No 
Year 7,Google Bard/Gemini;Microsoft Edge;,Rarely,"Sciences (Biology, Chemistry, Physics);", Getting help understanding difficult concepts;Checking my work for errors;Helping with research and finding information;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations,Somewhat confident,I'm not sure if I'm supposed to,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Nothing - I'm comfortable with my current AI use;,"Yes, but only once or twice",Friends or classmates,School devices/network,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;Prefer to do work without AI assistance;,I don't really use AI as something that gives me answers so doing the homework for me I just use google and microsoft edge to help if I am unsure of part of the task if not I ask the teacher.
